A	N	E	M	U	L	B	J	S	O 
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
									
A	N	E	M	U	L	B	J	S	O 
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
									
A	N	E	M	U	L	B	J	S	O 
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
									
A	N	E	M	U	L	B	J	S	O 
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
									
A	N	E	M	U	L	B	J	S	O 
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
									
A	N	E	M	U	L	B	J	S	O 
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
									
A	N	E	M	U	L	B	J	S	O 
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
									
A	N	E	M	U	L	B	J	S	O 
1	0	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
									
A	N	E	M	U	L	B	J	S	O 
1	0	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
									
A	N	E	M	U	L	B	J	S	O 
1	0	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
									
A	N	E	M	U	L	B	J	S	O 
1	0	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
									
A	N	E	M	U	L	B	J	S	O 
1	0	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1
									
A	N	E	M	U	L	B	J	S	O 
1	0	0	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	0	0	1	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1	1
									
END
