A	N	E	M	U	L	B	J	S	O 
1	4.78190255220418	84.3712296983759	102.143851508121	95.3631090487239	40.1763341067285	167.077726218097	122.419953596288	218.736658932715	295.788863109049 
4.78190255220418	1	1	7.43039443155452	62.5475638051044	12.3979118329466	128.561484918794	176.713457076566	249.242459396752	249.033642691415 
84.3712296983759	1	1	182.735498839907	244.633410672854	160.404872389791	322.357308584687	362.529002320186	444.236658932715	442.991879350348 
102.143851508121	7.43039443155452	182.735498839907	1	8.70533642691415	30.7320185614849	73.0742459396752	121.92807424594	187.303944315545	191.584686774942 
95.3631090487239	62.5475638051044	244.633410672854	8.70533642691415	1	13.5684454756381	12.6821345707657	47.6264501160093	121.795823665893	131.169373549884 
40.1763341067285	12.3979118329466	160.404872389791	30.7320185614849	13.5684454756381	1	59.0974477958237	2.36078886310905	112.57656612529	177.537122969838 
167.077726218097	128.561484918794	322.357308584687	73.0742459396752	12.6821345707657	59.0974477958237	1	30.5197215777262	15.8979118329466	14.3051044083527 
122.419953596288	176.713457076566	362.529002320186	121.92807424594	47.6264501160093	2.36078886310905	30.5197215777262	1	2.70881670533643	104.701856148492 
218.736658932715	249.242459396752	444.236658932715	187.303944315545	121.795823665893	112.57656612529	15.8979118329466	2.70881670533643	1	2.01044083526682 
295.788863109049	249.033642691415	442.991879350348	191.584686774942	131.169373549884	177.537122969838	14.3051044083527	104.701856148492	2.01044083526682	1 

A	N	E	M	U	L	B	J	S	O 
0	15.76680436	39.55689072	24.52196771	41.770184	1	51.06947052	36.71273	85.57566654	76.20953811 
15.76680436	1	1	1	17.33383402	14.42771311	41.81336838	31.77506572	84.38377769	70.0184003 
39.55689072	1	1	44.31618475	84.63800225	85.84453624	120.8595569	112.9369133	165.2001502	78.18137439 
24.52196771	1	44.31618475	1	9.462260608	9.866316185	35.30604581	27.07510327	78.81637251	63.38903492 
41.770184	17.33383402	84.63800225	9.462260608	1	12.19376643	5.666541495	14.77131055	55.61246714	36.84190762 
1	14.42771311	85.84453624	9.866316185	12.19376643	1	18.51145325	6.358242584	59.19339091	46.39954938 
51.06947052	41.81336838	120.8595569	35.30604581	5.666541495	18.51145325	1	2.369132557	8.246714232	1 
36.71273	31.77506572	112.9369133	27.07510327	14.77131055	6.358242584	2.369132557	1	8.055200901	1.647390161 
85.57566654	84.38377769	165.2001502	78.81637251	55.61246714	59.19339091	8.246714232	8.055200901	1	1 
76.20953811	70.0184003	78.18137439	63.38903492	36.84190762	46.39954938	1	1.647390161	1	1 

A	N	E	M	U	L	B	J	S	O 
0	18.07685512	45.30874558	45.12985866	69.65724382	14.98454064	80.01457597	63.16033569	111.6837456	154.5834806 
18.07685512	1	1	10.11263251	25.6704947	21.32553004	63.38295053	53.47835689	99.95141343	124.9933746 
45.30874558	1	1	58.64443463	110.7190813	91.40989399	150.5039753	141.0636042	188.1086572	211.0256184 
45.12985866	10.11263251	58.64443463	1	15.1475265	24.40061837	38.6139576	26.63515901	76.50176678	107.6616608 
69.65724382	25.6704947	110.7190813	15.1475265	1	50.77517668	8.833038869	11.66607774	43.37411661	64.12367491 
14.98454064	21.32553004	91.40989399	24.40061837	50.77517668	1	57.72835689	41.78268551	80.02738516	125.2844523 
